2025-06-20 16:04:13 | INFO     | app.api.endpoints.processing:upload_file:84 - 开始处理文件: 1-TCS-M6-001(三门).pdf, 任务ID: 8cb8d646-179e-4103-8e9a-8beb7e161b67
2025-06-20 16:04:13 | INFO     | app.services.file_processor:process_file:29 - 开始处理文件: uploads\8cb8d646-179e-4103-8e9a-8beb7e161b67_1-TCS-M6-001(三门).pdf, 类型: FileType.PDF
2025-06-20 16:04:13 | INFO     | app.services.file_processor:_process_pdf:46 - 处理PDF文件: uploads\8cb8d646-179e-4103-8e9a-8beb7e161b67_1-TCS-M6-001(三门).pdf
2025-06-20 16:04:13 | INFO     | app.services.layout_analyzer:analyze_layout:26 - 开始分析图纸布局
2025-06-20 16:04:13 | INFO     | app.services.element_detector:detect_elements:26 - 开始检测图纸元素
2025-06-20 16:04:13 | INFO     | app.services.topology_builder:build_topology:28 - 开始构建拓扑关系
2025-06-20 16:04:13 | INFO     | app.services.topology_builder:_build_mock_topology:83 - 拓扑构建完成，节点数: 2, 边数: 1
2025-06-20 16:04:13 | INFO     | app.services.processing_service:process_drawing:109 - 任务 8cb8d646-179e-4103-8e9a-8beb7e161b67 处理完成，耗时: 0.01秒
2025-06-20 16:13:36 | ERROR    | app.api.endpoints.processing:download_processed_file:166 - 下载文件失败: 404: 文件不存在
2025-06-20 19:32:38 | INFO     | app.api.endpoints.processing:upload_file:84 - 开始处理文件: 1-TCS-M6-001(三门).pdf, 任务ID: 42066b11-efd3-479b-ac35-1eb5120512e5
2025-06-20 19:32:38 | INFO     | app.services.file_processor:process_file:29 - 开始处理文件: uploads\42066b11-efd3-479b-ac35-1eb5120512e5_1-TCS-M6-001(三门).pdf, 类型: FileType.PDF
2025-06-20 19:32:38 | INFO     | app.services.file_processor:_process_pdf:46 - 处理PDF文件: uploads\42066b11-efd3-479b-ac35-1eb5120512e5_1-TCS-M6-001(三门).pdf
2025-06-20 19:32:38 | INFO     | app.services.layout_analyzer:analyze_layout:26 - 开始分析图纸布局
2025-06-20 19:32:38 | INFO     | app.services.element_detector:detect_elements:26 - 开始检测图纸元素
2025-06-20 19:32:38 | INFO     | app.services.topology_builder:build_topology:28 - 开始构建拓扑关系
2025-06-20 19:32:38 | INFO     | app.services.topology_builder:_build_mock_topology:83 - 拓扑构建完成，节点数: 2, 边数: 1
2025-06-20 19:32:38 | INFO     | app.services.processing_service:process_drawing:121 - 任务 42066b11-efd3-479b-ac35-1eb5120512e5 处理完成，耗时: 0.00秒
2025-06-20 19:39:37 | INFO     | app.services.export_service:export_to_json:44 - 导出JSON文件: exports\e141c6ca-a2b7-4b4a-bec6-63046f7fe186.json
2025-06-20 19:40:25 | INFO     | app.services.export_service:export_to_csv:79 - 导出CSV文件: exports\dbceabd4-87e3-44a0-8f2b-7d266a839418.csv
